Team,ID,Name,Game,Role,Skill,PersonalityType
1,P061,Participant_61,CS:GO,Strategist,7,Leader
1,P054,Participant_54,Valorant,Supporter,8,Thinker
1,P089,Participant_89,Chess,Supporter,6,Balanced
1,P024,Participant_24,DOTA 2,Supporter,7,Thinker
1,P039,Participant_39,FIFA,Supporter,5,Thinker
1,P019,Participant_19,FIFA,Supporter,9,Leader
1,P023,Participant_23,CS:GO,Defender,3,Balanced
1,P029,Participant_29,Basketball,Supporter,5,Balanced
1,P050,Participant_50,Basketball,Coordinator,5,Balanced
1,P015,Participant_15,DOTA 2,Coordinator,8,Thinker
1,P051,Participant_51,FIFA,Strategist,2,Thinker
1,P082,Participant_82,Valorant,Attacker,10,Leader
1,P055,Participant_55,Chess,Coordinator,8,Leader
1,P069,Participant_69,CS:GO,Supporter,5,Thinker
1,P042,Participant_42,DOTA 2,Attacker,7,Thinker
1,P083,Participant_83,DOTA 2,Defender,10,Balanced
1,P016,Participant_16,CS:GO,Strategist,6,Leader
1,P084,Participant_84,FIFA,Supporter,5,Thinker
1,P018,Participant_18,FIFA,Defender,3,Thinker
1,P005,Participant_5,CS:GO,Coordinator,9,Balanced
1,P030,Participant_30,CS:GO,Coordinator,4,Thinker
1,P056,Participant_56,Basketball,Strategist,4,Balanced
1,P060,Participant_60,CS:GO,Coordinator,4,Thinker
1,P092,Participant_92,Basketball,Attacker,7,Balanced
1,P098,Participant_98,CS:GO,Defender,5,Balanced
1,P078,Participant_78,FIFA,Defender,6,Thinker
1,P011,Participant_11,Basketball,Strategist,8,Balanced
1,P027,Participant_27,Chess,Attacker,6,Thinker
1,P026,Participant_26,Chess,Strategist,8,Balanced
1,P064,Participant_64,CS:GO,Supporter,6,Leader
1,P081,Participant_81,FIFA,Strategist,10,Thinker
1,P032,Participant_32,DOTA 2,Attacker,2,Balanced
1,P087,Participant_87,Basketball,Attacker,4,Thinker
1,P035,Participant_35,Basketball,Coordinator,8,Balanced
1,P013,Participant_13,DOTA 2,Defender,4,Leader
1,P088,Participant_88,FIFA,Defender,4,Leader
1,P001,Participant_1,Chess,Strategist,2,Leader
1,P004,Participant_4,Basketball,Supporter,4,Leader
1,P040,Participant_40,Chess,Coordinator,9,Leader
1,P006,Participant_6,CS:GO,Strategist,2,Thinker
1,P079,Participant_79,Chess,Supporter,5,Leader
1,P007,Participant_7,DOTA 2,Attacker,5,Leader
1,P046,Participant_46,CS:GO,Strategist,5,Leader
1,P057,Participant_57,CS:GO,Attacker,7,Thinker
1,P063,Participant_63,Chess,Defender,8,Thinker
1,P100,Participant_100,CS:GO,Coordinator,7,Leader
1,P067,Participant_67,Basketball,Attacker,1,Leader
1,P041,Participant_41,Basketball,Strategist,5,Balanced
1,P080,Participant_80,Basketball,Coordinator,1,Balanced
1,P090,Participant_90,Chess,Coordinator,5,Thinker
2,P094,Participant_94,CS:GO,Supporter,2,Leader
2,P036,Participant_36,Chess,Strategist,9,Thinker
